X,Y,Z,Activity
-0.969983,2.965034,9.79084,Sit
-0.505349,2.778223,9.817185,Sit
-0.548459,2.881209,10.001602,Sit
-0.682581,3.00096,10.032737,Sit
-0.59157,2.929109,9.769285,Sit
-0.874182,2.921924,9.448353,Sit
-0.617915,2.845283,9.05557,Sit
-0.397573,2.624942,9.182506,Sit
-0.747246,2.617756,10.289004,Sit
-0.941243,3.135081,11.081756,Sit
-0.871787,3.199746,10.550061,Sit
-0.428709,2.993775,9.889036,Sit
0.249082,3.00096,9.77647,Sit
0.622705,2.936294,9.299861,Sit
0.694556,2.488425,8.863968,Sit
-0.158071,2.792593,7.987391,Sit
-0.833467,3.317102,7.980206,Sit
-1.719624,3.872747,8.62207,Sit
-3.276387,4.049978,7.666458,Sit
-1.844165,3.458408,7.443721,Sit
-0.02395,3.032095,9.347761,Sit
0.165256,3.127896,10.526112,Sit
0.258662,3.230881,9.989627,Sit
0.371228,2.842888,9.450747,Sit
-1.21667,2.440525,9.031619,Sit
-1.271755,2.464475,9.814791,Sit
0.790356,2.768643,11.261382,Sit
1.664539,2.99617,12.032578,Sit
1.051414,3.228487,9.623189,Sit
0.517324,3.04886,7.479646,Sit
1.20709,2.797383,8.152647,Sit
1.482517,3.00096,8.998089,Sit
1.573528,2.876419,9.388477,Sit
1.022673,2.615361,9.426797,Sit
0.831072,2.440525,9.0891,Sit
0.687371,2.507586,9.333391,Sit
1.056204,2.260899,9.764495,Sit
1.786685,2.083667,9.618399,Sit
1.949546,1.959126,10.106983,Sit
2.064507,2.220183,9.702225,Sit
1.17356,2.296824,8.753797,Sit
1.16877,2.354304,9.72857,Sit
2.41418,2.318379,10.34888,Sit
2.38065,2.742297,9.582474,Sit
2.397415,2.751878,9.798025,Sit
3.563789,2.794988,10.590776,Sit
3.930227,3.408113,10.566827,Sit
4.016448,3.954177,10.169253,Sit
6.543194,3.07281,9.079519,Sit
6.224656,1.559158,8.377779,Sit
4.229605,1.451382,9.726174,Sit
3.470383,1.628613,10.614727,Sit
4.026028,1.987866,10.562037,Sit
4.258345,2.157913,9.491463,Sit
4.282295,1.84656,7.932305,Sit
4.957691,3.214116,7.642508,Sit
5.791157,3.822451,8.471185,Sit
6.818621,2.737507,6.600674,Sit
5.043911,4.517007,6.342012,Sit
4.902605,8.626861,5.858218,Sit
4.011658,8.109536,1.757944,Sit
3.812871,6.557564,1.942361,Sit
5.352869,4.564908,4.81399,Sit
3.04886,3.262017,10.693763,Sit
2.850073,4.040398,5.930068,Sit
3.508704,5.326524,0.402363,Sit
3.147056,5.070257,3.436853,Sit
4.430786,2.155518,4.059558,Sit
4.397256,-1.85614,-0.002395,Sit
-1.772315,1.118474,3.676355,Sit
-15.991546,9.09868,23.049669,Sit
-8.028106,5.930068,8.828042,Sit
-1.532813,4.665498,-1.470542,Sit
-9.220825,5.285809,7.3096,Sit
-11.484119,4.88105,9.826766,Sit
-8.423284,6.536008,7.592212,Sit
-4.311035,2.241738,5.616321,Sit
-1.111289,-0.773591,7.628138,Sit
-9.026829,2.553091,6.179151,Sit
-9.424402,2.320774,4.888235,Sit
-7.824529,1.642983,5.580396,Sit
-11.57513,2.251318,7.726333,Sit
-7.956255,1.563948,7.26649,Sit
-0.579595,-1.717229,3.386558,Sit
-3.376978,-1.367556,-3.67396,Sit
-10.985955,-0.785566,-8.772957,Sit
-11.836187,-1.561553,-3.008145,Sit
-11.54639,1.417852,7.649693,Sit
-7.173084,6.847361,10.557246,Sit
-7.424561,4.572093,6.619834,Sit
-7.728728,0.371228,3.400928,Sit
-7.403006,0.445474,3.439248,Sit
-8.291558,1.357976,6.880891,Sit
-9.501043,0.608335,7.994576,Sit
-10.236314,-0.651445,8.916658,Sit
-10.633887,-0.986748,9.69504,Sit
-10.564431,-0.998723,9.376502,Sit
-10.784774,-0.622705,7.951465,Sit
-11.955938,-0.119751,6.552774,Sit
-11.112891,-0.479004,6.437813,Sit
-10.650652,0.016765,7.062913,Sit
-10.521321,0.143701,6.634204,Sit
-9.522598,-0.538879,5.884563,Sit
-10.121353,-0.914898,5.168452,Sit
-11.115286,-0.871787,4.622388,Sit
-9.529783,-1.916016,4.849915,Sit
-9.649534,-2.605781,4.809199,Sit
-9.08431,-2.696792,2.608176,Sit
-8.202942,-2.498005,1.393901,Sit
-7.513176,-2.260899,1.745969,Sit
-7.582632,-2.042952,2.229763,Sit
-7.050938,-1.79866,1.420247,Sit
-7.810159,-0.845442,0.740061,Sit
-8.123906,-0.519719,0.732876,Sit
-7.824529,-0.110171,1.81782,Sit
-9.685459,-1.26457,2.469265,Sit
-11.136841,-5.213958,-0.706531,Sit
-10.909314,-2.234553,-1.223855,Sit
-11.498489,-2.320774,-2.440525,Sit
-12.042159,-3.00575,-1.336421,Sit
-11.699671,-3.003355,0.455054,Sit
-9.711804,-2.44292,-0.907712,Sit
-8.586145,-2.102827,-1.868115,Sit
-9.431587,-3.194956,-1.686094,Sit
-9.965676,-4.445157,-0.893342,Sit
-10.099798,-4.768484,-0.740061,Sit
-9.754915,-5.036726,-1.262175,Sit
-9.460327,-4.112249,-0.603545,Sit
-8.983719,-3.62127,-0.186812,Sit
-8.425679,-2.229763,-0.706531,Sit
-6.904841,2.644102,-2.387835,Sit
